,Date,ID,likes,retweet,Username,Followers,language,verified,Links,Tweets
34,2023-04-20 04:15:08+00:00,1648903098226872321,49,13,RakeshSinha01,1386797,en,False,https://t.co/kvFH59d1iH'],"India saw record of ₹149.5 trillion UPI, card transactions in 2022


via NaMo App "
33,2023-04-20 05:02:42+00:00,1648915070657912832,66,22,Paytm,1348648,en,False,https://t.co/kvFH59d1iH'],"#ContestAlert: You are just a tweet away from winning FLAT ₹5000 cashback🤑 

Share your stories on how the lightnin… "
51,2023-04-19 12:30:42+00:00,1648665423351619585,26,6,thebetterindia,801974,en,False,https://t.co/kvFH59d1iH'],"While digital payment systems have become a norm in our daily lives, a #coconutseller also participates in the… "
54,2023-04-19 10:48:47+00:00,1648639774176215043,279,229,HardeepSPuri,589211,en,False,https://t.co/kvFH59d1iH'],"In ‘India Digital Payments Annual Report’ a report by French payment &amp; transactional services firm, modes like UPI,… "
23,2023-04-20 13:00:53+00:00,1649035407890468864,7,13,NewIndianXpress,486576,en,False,https://t.co/kvFH59d1iH'],"How UPI credit line is different from other borrowings

In this episode of TNIE Business Unbox, @monikareporter exp… "
44,2023-04-19 16:11:45+00:00,1648721051856306176,21,11,RadhamohanBJP,443936,en,False,https://t.co/kvFH59d1iH'],"India saw record of ₹149.5 trillion UPI, card transactions in 2022


via NaMo App "
20,2023-04-20 17:27:07+00:00,1649102406989529088,114,37,GemsOfBollywood,334458,en,False,https://t.co/kvFH59d1iH'],"Your utmost support is critical to us in this Yajna:

UPI- gemsofbollywood@upi, gemsofbollywood@icici, rashtrajyoti… "
1,2023-04-21 11:27:40+00:00,1649374336527265795,47,12,canarabank,249337,en,False,https://t.co/kvFH59d1iH'],Now enjoy the power of Canara RuPay Credit Card on UPI. Get 20% cashback &amp; win iPhone every 15 days* at Starbucks.… 
52,2023-04-19 11:35:13+00:00,1648651461402963968,205,10,finshots,159114,en,False,https://t.co/kvFH59d1iH'],"Recently the RBI made a massive announcement. They want to introduce  a direct credit line on UPI. 

We’re not talk… "
24,2023-04-20 11:49:52+00:00,1649017536271495168,179,24,finshots,159114,en,False,https://t.co/kvFH59d1iH'],"UPI emerges as India's favourite payment channel👇🏼

While UPI dominates the payments landscape with 84% market shar… "
5,2023-04-21 07:31:35+00:00,1649314924114620416,99,56,thebharatarmy,151427,en,False,https://t.co/kvFH59d1iH'],"🚨CONTEST ALERT! Who will be the CRED Power Player of the Match between Chennai and Hyderabad today? 

🤔 In the comm… "
49,2023-04-19 14:14:39+00:00,1648691585150861313,58,36,Freecharge,139508,en,False,https://t.co/kvFH59d1iH'],"Tag that friend jo har match ko seriously leta hai.
Jaise Freecharge UPI leta hai har transaction ko seriously aur… "
19,2023-04-20 17:46:43+00:00,1649107341449494540,99,16,moronhumor,129888,en,False,https://t.co/kvFH59d1iH'],I hope the @Apple executives in India also showed @tim_cook how well India’s UPI @NPCI_NPCI works in comparison to… 
27,2023-04-20 09:05:22+00:00,1648976137102700545,149,8,BhargaviDebi,128874,en,False,https://t.co/kvFH59d1iH'],"Hey wanna so a naughty vedio call? 

Send 2k in my upi bhargavidebi@okhdfcbank

N then n there we cn start vc in sk… "
12,2023-04-21 02:21:11+00:00,1649236811770732553,86,48,MasalaBai,111795,en,False,https://t.co/kvFH59d1iH'],"“We need to arrange Rs 5,000 to save the child but our house has been burnt down and we do not have a single penny… "
46,2023-04-19 15:42:34+00:00,1648713707315412993,5268,609,Ravisutanjani,101142,en,False,https://t.co/kvFH59d1iH'],"Mukesh Ambani Brought Affordable 4G Mobile Internet with Jio in India 7 Years Back

Startups, UPI, Digital India, C… "
29,2023-04-20 08:17:57+00:00,1648964203364110336,1916,117,Ravisutanjani,101142,en,False,https://t.co/kvFH59d1iH'],"🚨 Top 5 UPI Beneficiary Banks

• Paytm Payments Bank 
• YES Bank 
• State Bank of India 
• Axis Bank 
• ICICI Bank"
21,2023-04-20 17:15:11+00:00,1649099406027943936,130,76,pakistan_untold,94359,en,False,https://t.co/kvFH59d1iH'],Pak Hindu refugee Mohan's 7 yrs son is fighting blood cancer in Delhi. Parents can't go to work to feed 5 little ki… 
7,2023-04-21 06:51:15+00:00,1649304776025473024,94,10,anujdhar,91709,en,False,https://t.co/kvFH59d1iH'],"Not that I loved Blue Tick less, but I love my UPI ID more. 

#BlueTick #Verified "
15,2023-04-20 22:35:21+00:00,1649179978058305539,31,9,CaulfieldTim,87272,en,False,https://t.co/kvFH59d1iH'],"Vaccine misinformation + George Santos + Nicki Minaj = Strange &amp; aggravating times...

""George Santos introduces bi… "
22,2023-04-20 17:14:38+00:00,1649099265103499265,108,42,CaulfieldTim,87272,en,False,https://t.co/kvFH59d1iH'],"Most adults, one-third of kids use dietary supplements  via @upi with @DrPaulOffit 

Massive… "
50,2023-04-19 13:41:15+00:00,1648683178302017536,23,8,eOrganiser,82420,en,False,https://t.co/kvFH59d1iH'],"How #UPI Payment has transformed small businesses 

@UPI_NPCI 
"
11,2023-04-21 02:23:34+00:00,1649237410415296517,15,7,DrIanWeissman,37602,en,False,https://t.co/kvFH59d1iH'],"During the #COVID19 pandemic, 67 million kids in 112 nations missed routine immunizations for various diseases.
"
38,2023-04-20 02:44:52+00:00,1648880381406466049,15,8,DrIanWeissman,37602,en,False,https://t.co/kvFH59d1iH'],"One in three, or 120 million, people lives with unhealthy levels of ozone or particle pollution, the State of the A… "
6,2023-04-21 07:08:49+00:00,1649309194032660480,25,16,ashwani_mahajan,36999,en,False,https://t.co/kvFH59d1iH'],UPI dominating India’s payment landscape. 
39,2023-04-20 02:17:52+00:00,1648873585556193280,34,11,MpDrBholaSingh,34721,en,False,https://t.co/kvFH59d1iH'],"India saw record of ₹149.5 trillion UPI, card transactions in 2022
 "
4,2023-04-21 07:46:40+00:00,1649318720102367233,310,136,maheshperi,21800,en,False,https://t.co/kvFH59d1iH'],"What use is UPI and digital India when a senior citizen, Surya Harijan has to walk many kilometers barefoot with th… "
32,2023-04-20 07:19:21+00:00,1648949457734758401,48,7,Arjunkaaccount,17913,en,False,https://t.co/kvFH59d1iH'],There were 2 participants who had 2 correct answers in yesterday's #CricketContestByArjun @Siddunaidupspk &amp;… 
2,2023-04-21 10:56:09+00:00,1649366407229108224,1558,1279,Arjunkaaccount,17912,en,False,https://t.co/kvFH59d1iH'],"Cricket Contest of 40k
#CSKvsSRH

Predict
- Bat with High SR
- Bat facing the fewest Deliveries
- 1st Inn Score
- 2… "
25,2023-04-20 11:01:50+00:00,1649005448538759168,26,6,ALaboutSports,15636,en,False,https://t.co/kvFH59d1iH'],I spoke to several Marlins players and manager Skip Schumaker about their hitting turnaround. Check it out! 
37,2023-04-20 03:35:01+00:00,1648893001106857984,53,26,CAPratikKarpe,14955,en,False,https://t.co/kvFH59d1iH'],"India saw record of ₹149.5 trillion UPI, card transactions in 2022

UPI Model of Bharat will be remembered as one o… "
14,2023-04-20 23:52:20+00:00,1649199350570971136,20,15,New_Narrative,13546,en,False,https://t.co/kvFH59d1iH'],"TSA confiscates 1,508 guns at airport checkpoints in first quarter of year

 "
55,2023-04-19 10:20:28+00:00,1648632650477846530,7,8,New_Narrative,13546,en,False,https://t.co/kvFH59d1iH'],"Russia-aligned hackers want to hit West's infrastructure, Britain says 

 "
35,2023-04-20 04:15:08+00:00,1648903096540762114,774,75,itsshivamsaxena,13540,en,False,https://t.co/kvFH59d1iH'],Me if UPI was never invented 
0,2023-04-21 14:15:06+00:00,1649416473444532226,93,24,KhushiViews,11058,en,False,https://t.co/kvFH59d1iH'],"Badhiya business hai

Kuch din tak threads likho, followers banao aur fir UPI ID daalo aur paise banao 

Nice busin… "
47,2023-04-19 15:38:03+00:00,1648712573125283841,34,10,OddNewsUPI,9335,en,False,https://t.co/kvFH59d1iH'],Look: Chonky cat up for adoption in Virginia weighs 40.3 pounds 
8,2023-04-21 06:16:29+00:00,1649296025201553409,17,10,bhoomeme,8492,en,False,https://t.co/kvFH59d1iH'],"*DONATION APPEAL*

we have rescued a stray cat with the help of a rescuer. need Rs. 1500 for her treatment, I can p… "
9,2023-04-21 05:38:34+00:00,1649286483919114241,139,25,DiscourseDancer,7447,en,False,https://t.co/kvFH59d1iH'],But my friend Tom from the USA had his jaw drop after seeing UPI 
17,2023-04-20 19:12:48+00:00,1649129005587791876,174,20,Tim_Clif,7317,en,False,https://t.co/kvFH59d1iH'],"But UPI, digital India, 10 minutes grocery delivery bro ! "
48,2023-04-19 15:13:36+00:00,1648706418445537280,239,21,AnujGurwara,6527,en,False,https://t.co/kvFH59d1iH'],"THE ABSOLUTE BEST #Haleem in #Hyderabad is at City Diamond, Mehdipatnam.

Pls note:

❗️It's beef.
❗️No UPI. Only ca… "
30,2023-04-20 08:02:00+00:00,1648960189981425664,33,11,NewscastGlobal,6009,en,False,https://t.co/kvFH59d1iH'],"#India saw record ₹149.5tn #UPI, #CardTransactions in 2022. As per report, UPI clocked ₹74.05+bn transactions in vo… "
36,2023-04-20 04:01:59+00:00,1648899790896517120,16,10,playotaapp,5341,en,False,https://t.co/kvFH59d1iH'],"Here are three easy steps to deposit Yota on @playotaapp and get a 400% bonus on your deposit: 
☑️ Tap the Deposit… "
58,2023-04-19 08:47:42+00:00,1648609303820144640,73,96,Musical_Ashaa,4935,en,False,https://t.co/kvFH59d1iH'],Don't let scammers fool you! Always remember to keep your UPI PIN private! #SafeRahoUPIKaro with @upichalega as it… 
16,2023-04-20 20:47:17+00:00,1649152783277256704,24,5,GraceLancers,4476,en,False,https://t.co/kvFH59d1iH'],"Great afternoon for our official groundbreaking for Tom Roy - UPI Park for @GraceCollegeBSB!
Live stream at… "
13,2023-04-21 00:56:23+00:00,1649215469511925761,32,5,GraceLancers,4476,en,False,https://t.co/kvFH59d1iH'],"BASEBALL: Groundbreaking ceremony enjoyed for Tom Roy - UPI Park for @GraceCollegeBSB 
Read more:… "
18,2023-04-20 18:08:11+00:00,1649112741758783489,656,138,chakravartiin,4445,en,False,https://t.co/kvFH59d1iH'],Someone should tell her how she lives in world's largest democracy with $ 3 trillion GDP the peaceful land of Buddh… 
40,2023-04-20 01:44:19+00:00,1648865146226311169,96,9,Gautaamm,4283,en,False,https://t.co/kvFH59d1iH'],"This is a fun challenge! 

@vijayshekhar  I got one for you too! 

Kayani Bakery in Pune, very famous, accepts cred… "
10,2023-04-21 05:14:04+00:00,1649280317465989120,69,77,arvindtw,3401,en,False,https://t.co/kvFH59d1iH'],India's #fintech landscape is registering unprecedented growth. Launch of the 'Digital India' program &amp; #UPI brough… 
41,2023-04-20 01:39:42+00:00,1648863983464747008,13,7,lovemoz1,2962,en,False,https://t.co/kvFH59d1iH'],🦠🪿Keeping an 👁️ on it… #H5N1 #avianflu #avianinfluenza #BirdFlu #birdphotography #IDTwitter #EmergingDiseases… 
42,2023-04-19 21:04:12+00:00,1648794651909058561,30,5,Crypsis12,2737,en,False,https://t.co/kvFH59d1iH'],"Alligator did nothing wrong! @ComfortablySmug 

"
28,2023-04-20 08:32:30+00:00,1648967866790842369,23,5,himanshulalips,2078,en,False,https://t.co/kvFH59d1iH'],"Protecting your money and personal information is crucial when using #UPI, online shopping. 
Don't share your UPI p… "
3,2023-04-21 09:07:17+00:00,1649339008613507072,15,5,ramchowdaryanne,1832,en,False,https://t.co/kvFH59d1iH'],"Liquor marts aithe no Cards, UPI payments only cash "
26,2023-04-20 09:37:51+00:00,1648984312602300419,34,12,GauNandiSewa,891,en,False,https://t.co/kvFH59d1iH'],"Handicapped- leg disabled gaumata with 3 legs healing slowly,  grazing grass,  roaming everywhere.

Pray and help t… "
43,2023-04-19 16:19:37+00:00,1648723032091795458,109,46,GauNandiSewa,891,en,False,https://t.co/kvFH59d1iH'],"Old labor men brought watermelons for spine injured Baby cow.

Inspire and send food for suffering gaumata.

PHONEP… "
59,2023-04-19 08:26:54+00:00,1648604071862104066,23,14,GauNandiSewa,891,en,False,https://t.co/kvFH59d1iH'],"Orphaned handicapped leg disabled gaumata babies eating food with elder brother Nandi.

Donate 1 pack carrots at Rs… "
53,2023-04-19 10:52:01+00:00,1648640588198350849,12,10,Sunbird_EkStep,533,en,False,https://t.co/kvFH59d1iH'],"India has achieved 85% financial inclusion through Aadhaar &amp; UPI. Listen in to @pramodkvarma, Former Chief Architec… "
45,2023-04-19 16:07:08+00:00,1648719892152213504,123,5,IpsVerma2,455,en,False,https://t.co/kvFH59d1iH'],Can anyone guess the name of this fruit or (rasayan fal) 😂😂 i will give you my all UPI gift vouchers. 
56,2023-04-19 09:32:40+00:00,1648620621377703936,19,38,Ajay_Jonnakuti1,212,en,False,https://t.co/kvFH59d1iH'],Our friend Dharavath Sreeram nayak (CSE-B SRKREC)21B91A0582 is suffering from blood cancer it is estimated that an… 
57,2023-04-19 09:25:15+00:00,1648618752496521216,7,8,FMA4rNeedy,35,en,False,https://t.co/kvFH59d1iH'],Our friend Dharavath Sreeram nayak (CSE-B SRKREC)21B91A0582 is suffering from blood cancer it is estimated that an… 
31,2023-04-20 07:55:08+00:00,1648958463094161408,28,51,maxmemaxme,6,en,False,https://t.co/kvFH59d1iH'],"On my last ₹2k. Please help. 

UPI
Urgent 🆘 
mxmax@axisbank
muskaanpalod00@okaxis
Number: 8123737213 "
