Date,tweet_id,tweet_content,likes,retweets,username,followers,tweet_language,verified,preprocessed_text,cluster,predicted_category,prediction
2023-04-12 12:30:19+00:00,1.6461286141975675e+18,"Manish Sisodia was the ONLY minister in India handling â€˜Education &amp; Liquorâ€™ together

What a revolution Arvind Kejrâ€¦ https://t.co/ze1AF8EJ3u",83,24,FltLtAnoopVerma,30663,en,False,manish sisodia minist india handl â€˜educ amp liquorâ€™ togeth revolut arvind kejrâ€¦ httpstcoze1af8ej3u,7,politics,0.4351114
2023-04-12 11:04:54+00:00,1.6461071152019046e+18,Supreme Court of Pakistan has summoned all officers for non-provision of funds for the Punjab elections on April 14â€¦ https://t.co/TBA0dqQfRv,43,6,Tormentedsoul30,1888,en,False,suprem court pakistan summon offic nonprovis fund punjab elect april 14â€¦ httpstcotba0dqqfrv,10,politics,0.7357075
2023-04-12 10:05:55+00:00,1.6460922747519263e+18,"Breaking:

Screenshots of Conman Sukesh Chandrashekhar's chat with KCR's daughter Kavitha.

As per Sukesh, Kavithaâ€¦ https://t.co/7vJHeoKlvv",503,234,Indian_Analyzer,42766,en,False,break screenshot conman sukesh chandrashekhar chat kcr daughter kavitha per sukesh kavithaâ€¦ httpstco7vjheoklvv,0,tech,0.49316442
2023-04-12 10:05:37+00:00,1.646092197840732e+18,A friend said Conman Sukesh Chandrashekhar who is lodged in Tihar Jail released alleged chats screenshots of him anâ€¦ https://t.co/UZ7aNnN0GD,49,33,AmitLeliSlayer,16515,en,False,friend said conman sukesh chandrashekhar lodg tihar jail releas alleg chat screenshot anâ€¦ httpstcouz7annn0gd,3,entertainment,0.2182233
2023-04-12 09:50:47+00:00,1.6460884636562924e+18,Delhi School very bad condition . Confirmed by AAP minister herself . Proves lies of Ruling leaders of Delhi .  https://t.co/OsJGAzpt7H,64,19,alokmehtaeditor,28345,en,False,delhi school bad condit confirm aap minist prove lie rule leader delhi httpstcoosjgazpt7h,5,politics,0.5997671
2023-04-12 09:20:47+00:00,1.646080915242877e+18,"Can't Keep Calm because AAP is a National Party ğŸ¥³

Our Ministers, leaders and volunteers celebrated his huge feat tâ€¦ https://t.co/ZvHNgThBuS",169,67,AAPPunjab,415218,en,True,cant keep calm aap nation parti ğŸ¥³ minist leader volunt celebr huge feat tâ€¦ httpstcozvhngthbu,1,politics,0.24332605
2023-04-12 09:20:47+00:00,1.646080913699373e+18,"Share Top 5 Traditional Fantasy App Name ! 

I Know Fatafat Se Bata Doge Aap Log ğŸ˜€ #IPL23

But Now Share TOP 5 Fantâ€¦ https://t.co/E0YiyDPde6",40,5,Cryptowithkhan,9455,en,False,share top 5 tradit fantasi app name know fatafat se bata doge aap log ğŸ˜€ ipl23 share top 5 fantâ€¦ httpstcoe0yiydpde6,0,tech,0.8836629
2023-04-12 08:50:20+00:00,1.6460732523920876e+18,Conman #SukeshChandrashekhar who is lodged in Tihar Jail in #Delhi released alleged chats screenshots of him andâ€¦ https://t.co/IkvNeMBCVM,812,433,KP_Aashish,10655,en,True,conman sukeshchandrashekhar lodg tihar jail delhi releas alleg chat screenshot andâ€¦ httpstcoikvnembcvm,5,entertainment,0.3011398
2023-04-12 08:34:10+00:00,1.6460691826293064e+18,"VIDEO | BJP workers stage protest against the AAP government over the alleged corruption in Delhi, demand CM Arvindâ€¦ https://t.co/6uRK3QoviE",57,9,PTI_News,4063732,en,True,video bjp worker stage protest aap govern alleg corrupt delhi demand cm arvindâ€¦ httpstco6urk3qovi,5,business,0.42856583
2023-04-12 08:17:24+00:00,1.6460649632268452e+18,What happens to the claims of two international publications that ran the same story on AAP's  excellent educationâ€¦ https://t.co/1py0EHAklu,61,26,jananisampath,32757,en,True,happen claim two intern public ran stori aap excel educationâ€¦ httpstco1py0ehaklu,9,sport,0.45492026
2023-04-12 08:05:52+00:00,1.6460620599883366e+18,Delhi Court to hear bail plea of AAP leader and former Deputy Chief Minister Manish Sisodia in a money laundering câ€¦ https://t.co/H9lmkkVZy8,130,24,LiveLawIndia,602336,en,True,delhi court hear bail plea aap leader former deputi chief minist manish sisodia money launder câ€¦ httpstcoh9lmkkvzy8,7,politics,0.550991
2023-04-12 07:30:20+00:00,1.646053120441729e+18,"I joined in @IAF_MCC in 1993
None of car ever a had a sticker â€œ Air Force or Defenceâ€ 

- When someone asks me â€œ siâ€¦ https://t.co/iCAvCASOVj",110,2,nitinwelde,4603,en,False,join iafmcc 1993 none car ever sticker â€œ air forc defenceâ€ someon ask â€œ siâ€¦ httpstcoicavcasovj,9,business,0.73256606
2023-04-12 07:11:24+00:00,1.646048353963356e+18,"Do u use Smartphone? â¤ï¸
or
Smartphone use you? ğŸ”´

- washroom me phone le jaana
- lunch dinner ke waqt phone
- lateâ€¦ https://t.co/JMvtr37N3j",21,6,TechDekhoji,1076,en,False,u use smartphon â¤ï¸ smartphon use ğŸ”´ washroom phone le jaana lunch dinner ke waqt phone lateâ€¦ httpstcojmvtr37n3j,0,tech,0.40234137
2023-04-12 07:09:50+00:00,1.646047960759939e+18,"Biggest exposÃ© of the Enforcement Directorate till date by AAP MP @SanjayAzadSln ğŸ”¥ğŸ”¥

Multiple witnesses in the Delhâ€¦ https://t.co/7dVQOKaiad",540,330,Jasmine441,13176,en,True,biggest exposÃ© enforc director till date aap mp sanjayazadsln ğŸ”¥ğŸ”¥ multipl wit delhâ€¦ httpstco7dvqokaiad,1,politics,0.5711996
2023-04-12 06:34:45+00:00,1.646039131766788e+18,Delhi High Court issues notice to Enforcement Directorate on bail plea moved by AAP's communication in-charge Vijayâ€¦ https://t.co/2SoadRFEDE,217,51,ANI,7641848,en,True,delhi high court issu notic enforc director bail plea move aap commun incharg vijayâ€¦ httpstco2soadrfed,5,business,0.23766057
2023-04-12 06:32:37+00:00,1.6460385945058263e+18,Senior AAP leader &amp; Rajya Sabha Member @SanjayAzadSln addressing an important press conferenceÂ |Â LIVE https://t.co/WzToEj7vsz,731,385,AamAadmiParty,6475161,en,True,senior aap leader amp rajya sabha member sanjayazadsln address import press confer live httpstcowztoej7vsz,6,politics,0.32417503
2023-04-12 06:29:42+00:00,1.6460378584136008e+18,"I know it's totally against Party's Early commitments.

But she embodies Arvind Kejriwal's persona whenever she visâ€¦ https://t.co/mylbXs9Wob",23,12,AAPforNewIndia,843,en,False,know total parti earli commit embodi arvind kejriw persona whenev visâ€¦ httpstcomylbxs9wob,9,sport,0.5202864
2023-04-12 06:15:54+00:00,1.6460343871449457e+18,"Samana toll plaza, Patiala to be closed by CM @BhagwantMann today ğŸ”¥ğŸ”¥

ğŸ‘‰ This will be the 9th Toll Plaza that the AAâ€¦ https://t.co/Uwsf9cZVEi",718,198,RitikGupta1999,5435,en,False,samana toll plaza patiala close cm bhagwantmann today ğŸ”¥ğŸ”¥ ğŸ‘‰ 9th toll plaza aaâ€¦ httpstcouwsf9czvei,11,politics,0.35348856
2023-04-12 06:12:04+00:00,1.6460334225724703e+18,"Samana toll plaza, Patiala to be closed by CM @BhagwantMann today ğŸ”¥ğŸ”¥

ğŸ‘‰ This will be the 9th Toll Plaza that the AAâ€¦ https://t.co/PWMEqCycQP",421,137,AAPPunjab,415218,en,True,samana toll plaza patiala close cm bhagwantmann today ğŸ”¥ğŸ”¥ ğŸ‘‰ 9th toll plaza aaâ€¦ httpstcopwmeqcycqp,11,politics,0.35348856
2023-04-12 05:57:14+00:00,1.6460296915251528e+18,"Any 1 MISTAKE ğŸ”´ which you did &amp; don't want YOUR KID/YOUNG GENERATION to do...!! be it ANYTHING ğŸŒ

Koi ek MISTAKE joâ€¦ https://t.co/sgbF6qNMAq",18,2,TechDekhoji,1076,en,False,1 mistak ğŸ”´ amp dont want kidyoung gener anyth ğŸŒ koi ek mistak joâ€¦ httpstcosgbf6qnmaq,9,sport,0.48138297
2023-04-12 05:30:00+00:00,1.6460228357003796e+18,"Kya Aap Hai Cricket Ke Asli Dawn? Tis' The Time To Win Your Throne.  
Answer This Simple Question On The Pinned Posâ€¦ https://t.co/GznCpLFkiq",87,68,RedFMIndia,271197,en,True,kya aap hai cricket ke asli dawn ti time win throne answer simpl question pin posâ€¦ httpstcogzncplfkiq,3,sport,0.39415684
2023-04-12 05:10:23+00:00,1.6460179003800576e+18,Send this tweet to coward kejriwal  ...he wont see this tweet @AtishiAAP  @AapKaGopalRai https://t.co/i1vBUeI84c,217,88,noconversion,237906,en,False,send tweet coward kejriw wont see tweet atishiaap aapkagopalrai httpstcoi1vbuei84c,9,tech,0.69308823
2023-04-12 05:10:19+00:00,1.6460178826635796e+18,"People of Punjab are asking AAP Govt â€œKya Hua Tera Wada, Vo Qasam, Vo Iraada!â€ ? 

Drunk on Power - AAP has forgottâ€¦ https://t.co/cGq9URC8Uf",67,22,JaiveerShergill,138009,en,True,peopl punjab ask aap govt â€œkya hua tera wada vo qasam vo iraadaâ€ drunk power aap forgottâ€¦ httpstcocgq9urc8uf,2,politics,0.40091255
2023-04-12 04:42:35+00:00,1.6460109025825628e+18,"-Manish Sisodiya : Liquor scam
-Satyendra Jain: Money laundering case
-Amanullah : Land scam
-Vijay Singla : Bribeâ€¦ https://t.co/ERNUM9K0lD",467,187,MrSinha_,74573,en,False,manish sisodiya liquor scam satyendra jain money launder case amanullah land scam vijay singla bribeâ€¦ httpstcoernum9k0ld,7,business,0.55857986
2023-04-12 04:40:00+00:00,1.6460102523060224e+18,"AAPâ€™s â€˜Degree Dikhaoâ€™ campaign: 40% of partyâ€™s Punjab MLAs are not graduates, 19 have not even passed 12th standard
 https://t.co/iifZ6qgqjB",121,33,OpIndia_com,627871,en,True,aapâ€™ â€˜degre dikhaoâ€™ campaign 40 partyâ€™ punjab mla graduat 19 even pass 12th standard httpstcoiifz6qgqjb,10,politics,0.5830594
2023-04-12 03:57:16+00:00,1.6459994973346363e+18,More power to you @AtishiAAP for exposing the corrupt education model run by #ManishSisodia for last 8 yrs inâ€¦ https://t.co/C5xxW0ASbY,555,307,MithilaWaala,2594,en,False,power atishiaap expos corrupt educ model run manishsisodia last 8 yr inâ€¦ httpstcoc5xxw0asbi,2,politics,0.3899168
2023-04-12 03:56:56+00:00,1.6459994150927237e+18,"If Kejriwal becomes PM, Tahir Hussain will get Bharat Ratna 

If Mamata becomes PM, a Bangladeshi will get Bharat Râ€¦ https://t.co/gigEla0lEn",4915,1275,FltLtAnoopVerma,30663,en,False,kejriw becom pm tahir hussain get bharat ratna mamata becom pm bangladeshi get bharat râ€¦ httpstcogigela0len,8,politics,0.23445746
2023-04-12 03:40:17+00:00,1.6459952245761802e+18,"I feel awkward when some Aapians say what @indian_nagrik has done for party, when they see him bluntly ask accountaâ€¦ https://t.co/vHWLmiQJ2I",57,20,mshahi0024,2326,en,False,feel awkward aapian say indiannagrik done parti see bluntli ask accountaâ€¦ httpstcovhwlmiqj2i,1,politics,0.5505604
2023-04-12 03:20:07+00:00,1.64599e+18,Ground report: AAP is gaining momentum in Jalandhar and Congress is losing votes every day. It was one of the easieâ€¦ https://t.co/Gp49Q62ry6,79,32,DeolSirsa,1805,en,False,ground report aap gain momentum jalandhar congress lose vote everi day one easieâ€¦ httpstcogp49q62ry6,7,sport,0.808596
2023-04-12 03:12:46+00:00,1.6459882991847014e+18,"1 traitor per state, an Owaisi &amp; One kejriwal in each state &amp; INC will be over run by peeparty in most states. Addâ€¦ https://t.co/SnRf7Kc45U",23,4,MetarSpeci,604,en,False,1 traitor per state owaisi amp one kejriw state amp inc run peeparti state addâ€¦ httpstcosnrf7kc45u,3,business,0.62183005
2023-04-12 02:44:03+00:00,1.645981074047275e+18,"Word of thanks and appreciation for @indian_nagrik as AAP supporter and volutneer.
Sitting abroad ,how much he doesâ€¦ https://t.co/6t4gzP7TZW",186,64,Kishlaysharma,11935,en,False,word thank appreci indiannagrik aap support volutn sit abroad much doesâ€¦ httpstco6t4gzp7tzw,9,politics,0.37656626
2023-04-12 02:39:59+00:00,1.6459800523777352e+18,Senior AAP leader and Rajya Sabha Member @SanjayAzadSln will address an important press conference today at 12 noon https://t.co/gBBFSfGl5i,332,116,AamAadmiParty,6475162,en,True,senior aap leader rajya sabha member sanjayazadsln address import press confer today 12 noon httpstcogbbfsfgl5i,6,politics,0.6836559
2023-04-12 02:36:58+00:00,1.6459792908263424e+18,"Thatâ€™s really bad

Itâ€™s not even 10-15 days since Arvind Kejriwal fixed Manish Sisodia

And Aatishi Marlena startedâ€¦ https://t.co/VmDLALVxtW",654,370,FltLtAnoopVerma,30663,en,False,thatâ€™ realli bad itâ€™ even 1015 day sinc arvind kejriw fix manish sisodia aatishi marlena startedâ€¦ httpstcovmdlalvxtw,7,sport,0.8718518
2023-04-12 01:54:20+00:00,1.6459685623417856e+18,"Congratulations @priinccess5 Haina Na Zainuuâ¤ï¸ğŸ˜ for 10K!
Meao Meao you deserve this more than anyone else! 
Aap andâ€¦ https://t.co/WwrXZjX7Rg",18,8,seno_112,5241,en,False,congratul priinccess5 haina na zainuuâ¤ï¸ğŸ˜ 10k meao meao deserv anyon els aap andâ€¦ httpstcowwrxzjx7rg,9,sport,0.84243333
2023-04-11 21:42:08+00:00,1.645905095257895e+18,"Hum females make up karein ya na karein , parda karein Ya na karein , aap apni sooch ko saaf karein. Its needs Deepâ€¦ https://t.co/nvaJWrymDt",53,5,BeingSNK,8408,en,False,hum femal make karein ya na karein parda karein ya na karein aap apni sooch ko saaf karein need deepâ€¦ httpstconvajwrymdt,3,business,0.65478486
2023-04-11 21:33:44+00:00,1.64590297965935e+18,Waisay @agentjay2009 1500 ke hisaab sey 27.6k tweets and videos ke aap khud laga dain. Account details share karooâ€™n?? ğŸ˜œ@MashwaniAzhar,33,2,SDJasmine,8815,en,False,waisay agentjay2009 1500 ke hisaab sey 276k tweet video ke aap khud laga dain account detail share karooâ€™n ğŸ˜œmashwaniazhar,0,business,0.3776805
2023-04-11 21:19:07+00:00,1.6458993029031076e+18,"If he joins AAP in Rajasthan, he won't get even 5% votes overall.

He is NOT a mass leader but a future asset onlyâ€¦ https://t.co/pyzXUBmKrV",577,69,TimesAlgebraIND,59596,en,False,join aap rajasthan wont get even 5 vote overal mass leader futur asset onlyâ€¦ httpstcopyzxubmkrv,8,politics,0.84392226
2023-04-11 19:28:38+00:00,1.6458714992098427e+18,"There goes #DilliKaMaalik #Kejriwal â€˜s #DegreeDikhao jumla 
ğŸ˜‚ğŸ˜‚ğŸ˜‚
@elonmusk wacky his ğŸ‘ in one tweetğŸ˜‚ğŸ˜‚ğŸ˜‚ https://t.co/QCio3xUiIi",185,35,mjavinod,27900,en,False,goe dillikamaalik kejriw â€˜s degreedikhao jumla ğŸ˜‚ğŸ˜‚ğŸ˜‚ elonmusk wacki ğŸ‘ one tweetğŸ˜‚ğŸ˜‚ğŸ˜‚ httpstcoqcio3xuiii,9,sport,0.3304568
2023-04-11 19:21:08+00:00,1.6458696096844472e+18,"Aap log bhi dekh loğŸ¥³ğŸ¤ğŸ»
Good night https://t.co/RBseEBpclm https://t.co/2eCHzcon2H",240,36,High_Heel_Babe,7741,en,False,aap log bhi dekh loğŸ¥³ğŸ¤ğŸ» good night httpstcorbseebpclm httpstco2echzcon2h,9,entertainment,0.45764542
2023-04-11 18:30:00+00:00,1.64585674283486e+18,"â¤ï¸V for Valued â¤ï¸
You are a very dear and valued person in my life DadağŸ¥ºâ¤ï¸ Always stay happy, kyuki aap khush toh hâ€¦ https://t.co/dJV76xbbGw",10,7,__GoldenBliss__,377,en,False,â¤ï¸v valu â¤ï¸ dear valu person life dadağŸ¥ºâ¤ï¸ alway stay happi kyuki aap khush toh hâ€¦ httpstcodjv76xbbgw,9,sport,0.5430528
2023-04-11 17:35:45+00:00,1.645843087875543e+18,"was in an e rick today when the dude decided to hit me w the ""aap ladka ho ya ladki"" question &amp; i said ""sir mujhe kâ€¦ https://t.co/rcpzjgAzgA",1637,95,psydukh,616,en,False,e rick today dude decid hit w aap ladka ho ya ladki question amp said sir mujh kâ€¦ httpstcorcpzjgazga,3,sport,0.72067124
